pet_id,Type,Age,Gender,Vaccinated,Spayed/Neutered,AdoptionStory,Extracted_Temperaments
0,0,Kitten,Male,No,No,rescued,"energetic, playful"
1,1,Puppy,Female,Yes,No,adopted,active
2,1,Puppy,Male,No,No,adopted,"cute, playful, cute, loving"
3,0,Kitten,Female,No,No,adopted,active
4,0,Adult,Female,Not Sure,Not Sure,rescued,"gentle, cute, soft"
5,0,Kitten,Female,Yes,No,adopted,"playful, active"
6,1,Puppy,Male,Yes,No,rescued,"active, loving"
7,1,Adult,Male,Not Sure,Not Sure,rescued,"friendly, loyal"
8,0,Kitten,Female,Yes,Yes,adopted,friendly
9,1,Puppy,Female,No,Yes,adopted,active
10,1,Adult,Female,No,Yes,rescued,loving
11,1,Puppy,Female,Yes,Yes,rescued,friendly
12,0,Adult,Male,Yes,Yes,adopted,soft
13,0,Kitten,Male,No,No,adopted,"cute, easy, playful"
14,1,Adult,Male,Yes,No,adopted,active
15,1,Adult,Male,No,No,rescued,"loving, friendly"
16,0,Kitten,Female,No,No,adopted,"loving, easy"
17,1,Puppy,Male,Yes,Yes,adopted,"friendly, active, playful"
18,1,Adult,Male,No,Yes,adopted,sweet
19,0,Kitten,Male,Yes,No,adopted,"cute, active"
20,1,Adult,Female,Yes,Yes,adopted,"calm, gentle, friendly, loyal, obedient"
21,0,Kitten,Male,Yes,Yes,adopted,friendly
22,1,Puppy,Male,Yes,No,adopted,loving
23,1,Puppy,Female,Not Sure,Not Sure,adopted,"active, obedient, cute"
24,0,Kitten,Male,No,No,rescued,"sweet, friendly"
25,1,Adult,Female,Yes,Yes,adopted,"friendly, easy"
26,1,Puppy,Male,No,No,adopted,active
27,1,Puppy,Male,Yes,Not Sure,adopted,friendly
28,0,Kitten,Female,No,No,adopted,loving
29,0,Kitten,Female,No,No,adopted,soft
30,1,Adult,Male,Yes,Yes,adopted,friendly
31,1,Puppy,Male,Yes,No,rescued,active
32,1,Puppy,Female,No,No,rescued,"active, friendly"
33,1,Adult,Female,Yes,Yes,adopted,"active, playful, obedient"
34,1,Puppy,Female,Yes,No,rescued,cute
35,1,Puppy,Male,No,No,adopted,calm
36,1,Puppy,Male,Not Sure,No,adopted,sweet
37,0,Kitten,Female,No,No,adopted,"active, playful"
38,1,Adult,Female,Yes,Yes,adopted,"fast, wise, smart"
39,1,Puppy,Male,Yes,No,adopted,"cute, playful"
40,1,Puppy,Female,Not Sure,Yes,adopted,"cute, obedient, friendly, playful, active"
41,1,Adult,Female,Not Sure,Yes,rescued,"protective, friendly"
42,1,Adult,Male,Yes,Yes,adopted,obedient
43,0,Kitten,Female,Yes,No,adopted,"sweet, warm"
44,1,Puppy,Female,No,No,adopted,"playful, sweet"
45,0,Kitten,Female,No,No,adopted,"cute, active, playful"
46,1,Puppy,Female,Yes,No,adopted,active
47,0,Kitten,Female,Yes,No,rescued,"active, playful, affectionate, independent"
48,1,Senior,Male,Not Sure,Not Sure,rescued,"warm, obedient, easy, precious, loving"
49,1,Puppy,Female,No,No,adopted,"playful, loving"
50,1,Adult,Female,Yes,No,adopted,friendly
51,0,Adult,Male,Yes,No,adopted,friendly
52,1,Adult,Male,Yes,Yes,adopted,"loving, sweet, funny, loving, affectionate, sweet, fast, loving"
53,1,Adult,Male,Yes,No,adopted,smart
54,0,Kitten,Male,No,No,rescued,"playful, active"
55,1,Puppy,Male,Yes,Yes,rescued,gentle
56,1,Adult,Female,Not Sure,Not Sure,rescued,"loving, loving"
57,1,Puppy,Male,Yes,No,rescued,"sweet, friendly, playful"
58,1,Puppy,Female,No,No,adopted,"affectionate, warm, cute, loving"
59,0,Kitten,Male,Yes,No,adopted,"playful, energetic"
60,0,Adult,Male,No,No,adopted,energetic
61,1,Puppy,Male,No,No,adopted,cute
62,1,Adult,Female,Yes,Yes,adopted,"gentle, playful"
63,1,Adult,Female,Yes,Yes,rescued,"sweet, calm, gentle, loyal"
64,0,Adult,Female,Not Sure,Yes,adopted,"friendly, playful, gentle"
65,1,Adult,Male,Yes,Yes,rescued,loving
66,0,Adult,Female,Not Sure,Yes,adopted,soft
67,0,Adult,Male,No,No,adopted,sweet
68,0,Kitten,Female,Yes,No,adopted,active
69,1,Adult,Female,Not Sure,Not Sure,rescued,friendly
70,1,Adult,Male,Yes,Yes,adopted,energetic
71,0,Kitten,Male,Not Sure,No,adopted,"active, playful"
72,1,Adult,Male,Yes,Yes,rescued,"loving, warm, smart, warm"
73,0,Kitten,Male,No,No,rescued,loving
74,0,Kitten,Female,No,No,adopted,playful
75,1,Puppy,Male,Yes,No,adopted,sweet
76,0,Adult,Male,Yes,Yes,rescued,independent
77,1,Adult,Male,Yes,No,adopted,"playful, obedient"
78,1,Adult,Male,Not Sure,No,rescued,active
79,1,Adult,Female,Yes,No,rescued,"tender, loving"
80,1,Puppy,Male,No,No,adopted,"cute, sweet"
81,1,Adult,Female,Yes,Yes,adopted,"friendly, independent"
82,1,Puppy,Female,No,No,adopted,playful
83,1,Puppy,Female,No,No,adopted,playful
84,0,Kitten,Male,Yes,Not Sure,adopted,"playful, active"
85,1,Adult,Female,Yes,Not Sure,adopted,"cute, loving, gentle"
86,0,Kitten,Male,Not Sure,Not Sure,rescued,cute
87,1,Puppy,Male,Yes,Not Sure,adopted,playful
88,0,Adult,Female,No,No,adopted,playful
89,1,Puppy,Male,Yes,Yes,adopted,friendly
90,0,Kitten,Male,Yes,No,rescued,"active, loving, playful, friendly, friendly"
91,0,Kitten,Female,Yes,Yes,adopted,"sweet, loving"
92,1,Puppy,Female,No,No,rescued,"cute, cute, playful, soft"
93,1,Puppy,Male,No,No,adopted,loyal
94,1,Adult,Male,Yes,Yes,rescued,"loving, loving"
95,0,Adult,Female,Yes,Yes,rescued,"friendly, affectionate, friendly"
96,1,Puppy,Female,No,No,adopted,sweet
97,0,Kitten,Male,No,No,adopted,active
98,0,Kitten,Female,No,No,adopted,"sweet, sweet"
99,0,Kitten,Male,Yes,Not Sure,adopted,"playful, curious"
100,1,Adult,Female,Yes,No,adopted,"cute, active"
101,0,Kitten,Female,Not Sure,Not Sure,rescued,"cute, loving"
102,0,Adult,Female,Yes,No,rescued,"loving, playful"
103,0,Kitten,Male,Not Sure,Not Sure,rescued,active
104,1,Puppy,Female,Yes,No,adopted,playful
105,1,Puppy,Female,Yes,No,adopted,"friendly, playful, cute"
106,0,Kitten,Female,No,No,adopted,"independent, loving"
107,0,Kitten,Female,Yes,No,adopted,playful
108,0,Kitten,Female,Yes,Yes,rescued,"playful, affectionate, friendly"
109,0,Kitten,Female,Not Sure,Not Sure,adopted,"cute, friendly, active"
110,0,Kitten,Female,Yes,Yes,rescued,"fresh, precious"
111,1,Adult,Female,Yes,Yes,adopted,loving
112,1,Puppy,Male,No,No,adopted,active
113,1,Puppy,Female,No,No,adopted,"friendly, funny"
114,1,Puppy,Male,Yes,No,rescued,"friendly, cute"
115,1,Puppy,Female,Yes,No,rescued,"active, energetic"
116,0,Kitten,Male,No,No,adopted,"active, loving"
117,1,Adult,Male,Yes,Yes,adopted,playful
118,1,Puppy,Female,Yes,No,rescued,sweet
119,1,Adult,Female,Not Sure,Yes,adopted,"affectionate, cute, sweet, loving"
120,0,Kitten,Female,No,No,rescued,"calm, curious"
121,0,Kitten,Male,No,No,rescued,playful
122,1,Puppy,Female,No,No,adopted,active
123,0,Adult,Male,Yes,No,adopted,"loving, obedient"
124,1,Adult,Female,Yes,Yes,rescued,"loyal, obedient"
125,1,Adult,Male,Yes,Yes,adopted,"obedient, playful, gentle"
126,0,Kitten,Male,No,No,adopted,active
127,1,Puppy,Female,Yes,No,rescued,"loving, playful"
128,0,Kitten,Male,Yes,No,adopted,friendly
129,1,Puppy,Female,No,No,adopted,active
130,0,Adult,Female,Yes,Yes,adopted,"active, smart"
131,0,Adult,Female,Yes,Yes,adopted,"sweet, curious, friendly, funny"
132,1,Adult,Female,Yes,Yes,adopted,active
133,1,Puppy,Male,Yes,No,adopted,playful
134,1,Puppy,Female,No,Yes,adopted,friendly
135,1,Puppy,Female,No,No,rescued,"loving, smart, easy, friendly, loving, obedient, obedient, loyal"
136,0,Adult,Male,Yes,Yes,adopted,active
137,1,Puppy,Female,No,No,adopted,"cute, friendly"
138,1,Adult,Female,Not Sure,Yes,adopted,loving
139,1,Puppy,Female,Yes,Yes,adopted,"playful, loyal"
140,1,Puppy,Male,No,No,adopted,"cute, calm"
141,0,Adult,Male,Not Sure,Not Sure,adopted,cute
142,1,Puppy,Male,Yes,No,rescued,cute
143,0,Kitten,Female,Yes,Yes,adopted,smart
144,1,Adult,Male,Not Sure,Not Sure,adopted,smart
145,1,Adult,Female,Yes,Yes,adopted,"sweet, sweet"
146,1,Puppy,Female,Yes,No,adopted,"sweet, friendly, playful, sweet"
147,1,Puppy,Female,Yes,Yes,rescued,cute
148,0,Kitten,Male,No,No,adopted,affectionate
149,0,Kitten,Female,No,No,adopted,"active, cute"
150,1,Puppy,Male,No,No,adopted,cute
151,1,Puppy,Female,Yes,No,rescued,calm
152,1,Puppy,Female,Yes,No,adopted,calm
153,0,Kitten,Female,No,No,adopted,sweet
154,0,Kitten,Male,Yes,Yes,adopted,"curious, fast, smart, friendly, warm"
155,1,Puppy,Male,Yes,No,adopted,active
156,0,Kitten,Male,Not Sure,Not Sure,adopted,friendly
157,0,Kitten,Female,No,No,rescued,affectionate
158,0,Kitten,Female,No,No,adopted,precious
159,0,Kitten,Male,No,No,rescued,active
160,0,Kitten,Female,No,No,adopted,"loving, loving, active, playful"
161,0,Kitten,Female,Yes,Yes,adopted,sweet
162,1,Puppy,Male,Yes,No,rescued,smart
163,1,Puppy,Female,Not Sure,No,adopted,affectionate
164,0,Kitten,Female,Not Sure,No,adopted,cute
165,1,Puppy,Female,Yes,No,adopted,"smart, easy"
166,1,Puppy,Female,No,No,adopted,"warm, loving, active, cute"
167,0,Adult,Female,Yes,Yes,adopted,loving
168,1,Adult,Male,Yes,Yes,adopted,"protective, active, loyal"
169,0,Kitten,Male,No,No,adopted,active
170,1,Puppy,Female,No,No,rescued,gentle
171,0,Kitten,Female,No,No,adopted,cute
172,1,Puppy,Female,No,No,rescued,"soft, smart"
173,1,Puppy,Male,No,No,rescued,"docile, obedient, active, playful, loyal, gentle"
174,1,Puppy,Male,Yes,No,adopted,loving
175,1,Puppy,Male,No,No,rescued,loving
176,0,Kitten,Male,Not Sure,Not Sure,rescued,friendly
177,0,Kitten,Male,Yes,No,rescued,"active, playful"
178,0,Adult,Female,No,No,adopted,"friendly, friendly"
179,1,Adult,Female,Yes,No,adopted,"loving, loving"
180,1,Puppy,Female,Yes,No,adopted,friendly
181,1,Puppy,Female,Not Sure,Not Sure,rescued,"playful, active"
182,1,Puppy,Male,No,No,adopted,smart
