pet_id,Type,Age,Gender,Vaccinated,Spayed/Neutered,AdoptionStory,Extracted_Temperaments
1,Dog,Puppy,Female,Yes,No,adopted,active
2,Dog,Puppy,Male,No,No,adopted,"cute, playful, cute, loving"
6,Dog,Puppy,Male,Yes,No,rescued,"active, loving"
7,Dog,Adult,Male,Not Sure,Not Sure,rescued,"friendly, loyal"
9,Dog,Puppy,Female,No,Yes,adopted,active
10,Dog,Adult,Female,No,Yes,rescued,loving
11,Dog,Puppy,Female,Yes,Yes,rescued,friendly
14,Dog,Adult,Male,Yes,No,adopted,active
15,Dog,Adult,Male,No,No,rescued,"loving, friendly"
17,Dog,Puppy,Male,Yes,Yes,adopted,"friendly, active, playful"
18,Dog,Adult,Male,No,Yes,adopted,sweet
20,Dog,Adult,Female,Yes,Yes,adopted,"calm, gentle, friendly, loyal, obedient"
22,Dog,Puppy,Male,Yes,No,adopted,loving
23,Dog,Puppy,Female,Not Sure,Not Sure,adopted,"active, obedient, cute"
25,Dog,Adult,Female,Yes,Yes,adopted,"friendly, easy"
26,Dog,Puppy,Male,No,No,adopted,active
27,Dog,Puppy,Male,Yes,Not Sure,adopted,friendly
30,Dog,Adult,Male,Yes,Yes,adopted,friendly
31,Dog,Puppy,Male,Yes,No,rescued,active
32,Dog,Puppy,Female,No,No,rescued,"active, friendly"
33,Dog,Adult,Female,Yes,Yes,adopted,"active, playful, obedient"
34,Dog,Puppy,Female,Yes,No,rescued,cute
35,Dog,Puppy,Male,No,No,adopted,calm
36,Dog,Puppy,Male,Not Sure,No,adopted,sweet
38,Dog,Adult,Female,Yes,Yes,adopted,"fast, wise, smart"
39,Dog,Puppy,Male,Yes,No,adopted,"cute, playful"
40,Dog,Puppy,Female,Not Sure,Yes,adopted,"cute, obedient, friendly, playful, active"
41,Dog,Adult,Female,Not Sure,Yes,rescued,"protective, friendly"
42,Dog,Adult,Male,Yes,Yes,adopted,obedient
44,Dog,Puppy,Female,No,No,adopted,"playful, sweet"
46,Dog,Puppy,Female,Yes,No,adopted,active
48,Dog,Senior,Male,Not Sure,Not Sure,rescued,"warm, obedient, easy, precious, loving"
49,Dog,Puppy,Female,No,No,adopted,"playful, loving"
50,Dog,Adult,Female,Yes,No,adopted,friendly
