pet_type_id,type,age,gender,vaccinated,spayed_neutered,adoption_story,extracted_temperaments
1,Cat,Kitten,Male,No,No,rescued,"energetic, playful"
2,Dog,Puppy,Female,Yes,No,adopted,active
3,Dog,Puppy,Male,No,No,adopted,"cute, playful, cute, loving"
4,Cat,Kitten,Female,No,No,adopted,active
5,Cat,Adult,Female,Not Sure,Not Sure,rescued,"gentle, cute, soft"
6,Cat,Kitten,Female,Yes,No,adopted,"playful, active"
7,Dog,Puppy,Male,Yes,No,rescued,"active, loving"
8,Dog,Adult,Male,Not Sure,Not Sure,rescued,"friendly, loyal"
9,Cat,Kitten,Female,Yes,Yes,adopted,friendly
10,Dog,Puppy,Female,No,Yes,adopted,active
11,Dog,Adult,Female,No,Yes,rescued,loving
12,Dog,Puppy,Female,Yes,Yes,rescued,friendly
13,Cat,Adult,Male,Yes,Yes,adopted,soft
14,Cat,Kitten,Male,No,No,adopted,"cute, easy, playful"
15,Dog,Adult,Male,Yes,No,adopted,active
16,Dog,Adult,Male,No,No,rescued,"loving, friendly"
17,Cat,Kitten,Female,No,No,adopted,"loving, easy"
18,Dog,Puppy,Male,Yes,Yes,adopted,"friendly, active, playful"
19,Dog,Adult,Male,No,Yes,adopted,sweet
20,Cat,Kitten,Male,Yes,No,adopted,"cute, active"
21,Dog,Adult,Female,Yes,Yes,adopted,"calm, gentle, friendly, loyal, obedient"
22,Cat,Kitten,Male,Yes,Yes,adopted,friendly
23,Dog,Puppy,Male,Yes,No,adopted,loving
24,Dog,Puppy,Female,Not Sure,Not Sure,adopted,"active, obedient, cute"
25,Cat,Kitten,Male,No,No,rescued,"sweet, friendly"
26,Dog,Adult,Female,Yes,Yes,adopted,"friendly, easy"
27,Dog,Puppy,Male,No,No,adopted,active
28,Dog,Puppy,Male,Yes,Not Sure,adopted,friendly
29,Cat,Kitten,Female,No,No,adopted,loving
30,Cat,Kitten,Female,No,No,adopted,soft
31,Dog,Adult,Male,Yes,Yes,adopted,friendly
32,Dog,Puppy,Male,Yes,No,rescued,active
33,Dog,Puppy,Female,No,No,rescued,"active, friendly"
