pet_id,Type
0,Cat
1,Dog
2,Dog
3,Cat
4,Cat
5,Cat
6,Dog
7,Dog
8,Cat
9,Dog
10,Dog
11,Dog
12,Cat
13,Cat
14,Dog
15,Dog
16,Cat
17,Dog
18,Dog
19,Cat
20,Dog
21,Cat
22,Dog
23,Dog
24,Cat
25,Dog
26,Dog
27,Dog
28,Cat
29,Cat
30,Dog
31,Dog
32,Dog
33,Dog
34,Dog
35,Dog
36,Dog
37,Cat
38,Dog
39,Dog
40,Dog
41,Dog
42,Dog
43,Cat
44,Dog
45,Cat
46,Dog
47,Cat
48,Dog
49,Dog
50,Dog
51,Cat
52,Dog
53,Dog
54,Cat
55,Dog
56,Dog
57,Dog
58,Dog
59,Cat
60,Cat
61,Dog
62,Dog
63,Dog
64,Cat
65,Dog
66,Cat
67,Cat
68,Cat
69,Dog
70,Dog
71,Cat
72,Dog
73,Cat
74,Cat
75,Dog
76,Cat
77,Dog
78,Dog
79,Dog
80,Dog
81,Dog
82,Dog
83,Dog
84,Cat
85,Dog
86,Cat
87,Dog
88,Cat
89,Dog
90,Cat
91,Cat
92,Dog
93,Dog
94,Dog
95,Cat
96,Dog
97,Cat
98,Cat
99,Cat
100,Dog
101,Cat
102,Cat
103,Cat
104,Dog
105,Dog
106,Cat
107,Cat
108,Cat
109,Cat
110,Cat
111,Dog
112,Dog
113,Dog
114,Dog
115,Dog
116,Cat
117,Dog
118,Dog
119,Dog
120,Cat
121,Cat
122,Dog
123,Cat
124,Dog
125,Dog
126,Cat
127,Dog
128,Cat
129,Dog
130,Cat
131,Cat
132,Dog
133,Dog
134,Dog
135,Dog
136,Cat
137,Dog
138,Dog
139,Dog
140,Dog
141,Cat
142,Dog
143,Cat
144,Dog
145,Dog
146,Dog
147,Dog
148,Cat
149,Cat
150,Dog
151,Dog
152,Dog
153,Cat
154,Cat
155,Dog
156,Cat
157,Cat
158,Cat
159,Cat
160,Cat
161,Cat
162,Dog
163,Dog
164,Cat
165,Dog
166,Dog
167,Cat
168,Dog
169,Cat
170,Dog
171,Cat
172,Dog
173,Dog
174,Dog
175,Dog
176,Cat
177,Cat
178,Cat
179,Dog
180,Dog
181,Dog
182,Dog
183,Cat
184,Cat
185,Cat
186,Dog
187,Cat
188,Dog
189,Dog
190,Cat
191,Dog
192,Cat
193,Cat
194,Cat
195,Dog
196,Cat
197,Dog
198,Dog
199,Cat
200,Dog
201,Dog
202,Dog
203,Cat
204,Cat
205,Dog
206,Cat
207,Dog
208,Dog
209,Cat
210,Cat
211,Dog
212,Dog
213,Cat
214,Dog
215,Dog
216,Cat
217,Dog
218,Cat
219,Dog
220,Cat
221,Dog
222,Dog
223,Dog
224,Dog
225,Dog
226,Cat
227,Dog
228,Cat
229,Dog
230,Dog
231,Dog
232,Cat
233,Dog
234,Cat
235,Dog
236,Cat
237,Dog
238,Cat
239,Dog
240,Dog
241,Cat
242,Dog
243,Cat
244,Cat
245,Cat
246,Dog
247,Dog
248,Dog
249,Cat
250,Cat
251,Dog
252,Dog
